Date	TimeOfDay	Type	SubType	Distance	DistanceUnit	Duration	Weight	WeightUnit	RestHR	AvgHR	MaxHR	Sleep	Calories	Quality	Effort	Weather	Temperature	TempUnit	Notes	Course	CourseSurface	CourseNotes	ShoeMake	ShoeModel	Size	System	ShoeSerial	ShoePrice	OverallPlace	FieldSize	GroupMinAge	GroupMaxAge	GroupPlace	GroupSize	GenderPlace	GenderSize	
2007-07-02		Run	Easy	15.00	Kilometer	0:0:00	66.0	kg											cw+m+p+cc+m	braids	Asphalt,Trail		Unknown	No Log												
2007-07-03		Row	Default	3000.00	Meter	0:13:48	66.0	kg																												
2007-07-03		Weights	0				66.0	kg																												
2007-07-04		Run	Race	5.00	Kilometer	0:18:55	65.0	kg												Meadows race	Asphalt	Sri Chinmoy self-transcendence summer race series, Meadows 5km etc.	Unknown	No Log												
2007-07-04		Run	Easy	4.00	Kilometer	0:0:00	66.0	kg												warmup etc.			Unknown	No Log												
2007-07-07		Run	Easy	10.00	Kilometer	0:0:00	66.0	kg											 cw+p+m	braids	Asphalt,Trail		Unknown	No Log												
2007-07-09		Row	Default	3000.00	Meter	0:13:48	66.0	kg																												
2007-07-09		Weights	0				66.0	kg																												
2007-07-09		Run	Easy	6.00	Kilometer	0:0:00	66.0	kg											s+m+s+gym	braids	Asphalt,Trail		Unknown	No Log												
2007-07-11		Weights	0				66.0	kg																												
2007-07-11		Row	Default	2000.00	Meter	0:9:04	66.0	kg																												
2007-07-11		Run	Long	16.00	Kilometer	1:32:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-07-15		Run	Easy	3.00	Kilometer	0:0:00	66.0	kg												warmup etc.			Unknown	No Log												
2007-07-15		Run	Race	10.00	Kilometer	0:42:26	65.0	kg												Crieff 10k	Asphalt,Trail,Grass	Hilly.	Unknown	No Log												
2007-07-16		Row	Default	5000.00	Meter	0:22:40	66.0	kg																												
2007-07-16		Weights	0				66.0	kg																												
2007-07-17		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+S	braids	Asphalt,Trail		Unknown	No Log												
2007-07-18		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-07-18		Row	Default	5000.00	Meter	0:23:00	66.0	kg																												
2007-07-18		Weights	0				66.0	kg																												
2007-07-20		Row	Default	5000.00	Meter	0:22:40	66.0	kg																												
2007-07-20		Weights	0				66.0	kg																												
2007-07-20		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											s+2*cw+l	braids	Asphalt,Trail		Unknown	No Log												
2007-07-22		Run	Long	18.50	Kilometer	0:0:00	66.0	kg												Canal/wol-currie			Unknown	No Log												
2007-07-23		Weights	0				66.0	kg																												
2007-07-23		Row	Default	5000.00	Meter	0:22:40	66.0	kg																												
2007-07-24		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-07-25		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-07-26		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+ccw+cw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-07-29		Run	Long	23.00	Kilometer	2:06:00	66.0	kg												Canal/wol - balerno			Unknown	No Log												
2007-07-31		Row	Default	5000.00	Meter	0:23:15	66.0	kg																												
2007-07-31		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											s+2*ccw+s+gym	braids	Asphalt,Trail		Unknown	No Log												
2007-07-31		Weights	0				66.0	kg																												
2007-08-01		Run	Easy	10.00	Kilometer	0:0:00	66.0	kg											s+cw+park+ccw+l	braids	Asphalt,Trail		Unknown	No Log												
2007-08-02		Weights	0				66.0	kg																												
2007-08-02		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											s+ccw+cw+s+g	braids	Asphalt,Trail		Unknown	No Log												
2007-08-02		Row	Default	5000.00	Meter	0:22:50	66.0	kg																												
2007-08-04		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+mid+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-05		Run	Easy	4.00	Kilometer	0:0:00	66.0	kg												warmup etc.			Unknown	No Log												
2007-08-05		Run	Race	10.00	Kilometer	0:39:46	65.0	kg											19:37@5k	Scottish Gas 10k	Asphalt		Unknown	No Log					54	425						
2007-08-07		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											s+2*ccw+s+gym	braids	Asphalt,Trail		Unknown	No Log												
2007-08-07		Row	Default	5000.00	Meter	0:22:10	66.0	kg																												
2007-08-07		Weights	0				66.0	kg																												
2007-08-08		Run	Easy	14.00	Kilometer	1:21:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-08-08		Bike	Easy	30.00	Kilometer	1:45:00	66.0	kg																												
2007-08-10		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+ccw+cw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-10		Row	Default	5000.00	Meter	0:22:40	66.0	kg																												
2007-08-10		Weights	0				66.0	kg																												
2007-08-11		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+l	braids	Asphalt,Trail		Unknown	No Log												
2007-08-12		Run	Race	10.00	Kilometer	0:38:55	65.0	kg												Forth Bridge 10k	Asphalt		Unknown	No Log					27	304						
2007-08-12		Run	Easy	4.00	Kilometer	0:0:00	66.0	kg												warmup etc.			Unknown	No Log												
2007-08-14		Weights	0				66.0	kg																												
2007-08-14		Row	Default	5000.00	Meter	0:23:10	66.0	kg																												
2007-08-14		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+2*ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-15		Run	Easy	12.00	Kilometer	0:0:00	66.0	kg												braid loops	Asphalt,Track,Trail		Unknown	No Log												
2007-08-16		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-17		Weights	0				66.0	kg																												
2007-08-17		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-18		Run	Long	23.00	Kilometer	0:0:00	66.0	kg												Canal/wol - balerno			Unknown	No Log												
2007-08-20		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+ccw+mid+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-22		Run	Easy	17.00	Kilometer	0:0:00	66.0	kg											short+2*braid loops+short	braid loops	Asphalt,Track,Trail		Unknown	No Log												
2007-08-23		Run	Easy	12.00	Kilometer	0:0:00	66.0	kg												braid loops	Asphalt,Track,Trail		Unknown	No Log												
2007-08-24		Run	Long	23.00	Kilometer	0:0:00	66.0	kg												Canal/wol - balerno			Unknown	No Log												
2007-08-28		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg											s+cw+ccw+s	braids	Asphalt,Trail		Unknown	No Log												
2007-08-29		Run	Easy	16.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-08-30		Weights	0				66.0	kg																												
2007-08-30		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											short+ccw+cw+short+g	braids	Asphalt,Trail		Unknown	No Log												
2007-09-02		Run	Long	25.00	Kilometer	0:0:00	66.0	kg											past end of wol on road for ~1km. Slow particularly out.	Canal/wol - balerno			Unknown	No Log												
2007-09-04		Run	Easy	12.00	Kilometer	0:0:00													short+loop+cw+short	braid loops	Asphalt,Track,Trail		Unknown	No Log												
2007-09-05		Run	Easy	5.00	Kilometer	0:0:00														warmup etc.			Unknown	No Log												
2007-09-05	19:00	Run	Race	5.00	Kilometer	0:18:08	65.0	kg												Meadows race	Asphalt	Sri Chinmoy self-transcendence summer race series, Meadows 5km etc.	Unknown	No Log					17	97						
2007-09-07		Run	Easy	12.00	Kilometer	0:0:00	66.0	kg												braid loops	Asphalt,Track,Trail		Unknown	No Log												
2007-09-08		Run	Easy	7.00	Kilometer	0:0:00	66.0	kg												braids	Asphalt,Trail		Unknown	No Log												
2007-09-10		Weights	0				66.0	kg																												
2007-09-10		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											short+cw+mid+short+gym	braids	Asphalt,Trail		Unknown	No Log												
2007-09-12		Run	Easy	18.00	Kilometer	0:0:00	66.0	kg											short+2*loop+long	braid loops	Asphalt,Track,Trail		Unknown	No Log												
2007-09-13		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											short+ccw+cw+long	braids	Asphalt,Trail		Unknown	No Log												
2007-09-14		Run	Easy	8.50	Kilometer	0:0:00	66.0	kg											gym+short+cw+mid+short	braids	Asphalt,Trail		Unknown	No Log												
2007-09-14		Weights	0				66.0	kg																												
2007-09-16		Run	Long	18.00	Kilometer	0:0:00	66.0	kg												Canal/wol-currie			Unknown	No Log												
2007-09-19		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											short+ccw+cw+long	braids	Asphalt,Trail		Unknown	No Log												
2007-09-19		Weights	0				66.0	kg																												
2007-09-20		Run	Easy	16.00	Kilometer	0:0:00	66.0	kg												Canal/wol			Unknown	No Log												
2007-09-21		Run	Easy	9.00	Kilometer	0:0:00	66.0	kg											short+ccw+cw+park+short	braids	Asphalt,Trail		Unknown	No Log												
2007-09-22		Run	Easy	8.00	Kilometer	0:0:00	66.0	kg											short+cw+mid+long	braids	Asphalt,Trail		Unknown	No Log												
2007-09-23		Run	Long	23.00	Kilometer	1:52:00	66.0	kg												Canal/wol - balerno			Unknown	No Log												
2007-09-25	17:00	Run	Easy	8.00	Kilometer	0:0:00													short+cw+ccw+long	braids	Asphalt,Trail		New Balance	767	11.00	UK	#3/red									
2007-09-26	6:00	Run	Easy	16.00	Kilometer	1:28:30													1hr pre-dawn. 1st time long sleeves+starting with gloves in season. Nice.	Canal/wol			New Balance	767	11.00	UK	#4/blue									
2007-09-26	18:00	Spinning	Default	0.00		0:10:00	65.0	kg																												
2007-09-26	18:00	Weights	0				65.0	kg																												
2007-09-26	18:00	Row	Default	2000.00	Meter	0:9:20	65.0	kg																												
2007-09-27	19:20	Run	Easy	10.00	Kilometer	0:0:00													short+cw+mid+park+long	braids	Asphalt,Trail		New Balance	767	11.00	UK	#3/red									
2007-09-28	17:30	Spinning	Default	16.00	Kilometer	0:30:00	66.0	kg		154	160																									
2007-09-28	18:00	Weights	0				66.0	kg											Weights good, skin bad.																	
2007-09-28	19:00	Row	Default	2000.00	Meter	0:9:10	66.0	kg																												
2007-09-30	16:00	Run	Long	26.00	Kilometer	2:15:00	66.0	kg								Sunny,PartlyCloudy			Repeated first wol section (at v.c.) on way back. Easy pace, tiring by repeated section.	Canal/wol - balerno			New Balance	767	11.00	UK	#4/blue									
2007-10-02		Row	Default	3000.00	Meter	0:13:45	66.0	kg																												
2007-10-02	7:30	Run	Easy	10.00	Kilometer	0:0:00	65.0	kg								Sunny	2	C	s+2*cw+park+l.  Legs tired. Lovely morning.	braids	Asphalt,Trail		New Balance	767	11.00	UK	#3/red									
2007-10-02	18:00	Weights	0				64.6	kg																												
2007-10-02	18:00	Spinning	Default	0.00		0:15:00	64.6	kg		150	162																									
2007-10-04		Run	Long	21.00	Kilometer	0:0:00	65.0	kg											Tired legs. Diversion due to howe dean pathbuilding took planned 17km to 21km.<br><br>R ankle weak, left occasionally felt like there was some swelling but seems fine.	braid long loops	Asphalt,Track	10.5km map = 1 long loop and *once* to Morningside Rd.	New Balance	767	11.00	UK	#4/blue									
2007-10-06		Run	Easy	9.00	Kilometer	0:0:00	65.0	kg											s+cw+park+ccw+l	braids	Asphalt,Trail		New Balance	767	11.00	UK	#4/blue									
2007-10-07	16:30	Run	Long	23.00	Kilometer	1:54:00	65.0	kg												Canal/wol - balerno			New Balance	767	11.00	UK	#3/red									
2007-10-08	18:00	Weights	0				65.0	kg																												
2007-10-10	19:00	Run	Easy	14.00	Kilometer	0:0:00	65.0	kg											to rr	Canal/wol			New Balance	767	11.00	UK	#3/red									
2007-10-11	17:30	Run	Easy	10.00	Kilometer	0:0:00	65.0	kg											s+2*mid+pk+l. Mostly feeling pretty terrible indeed with some short patches of quite good. Tired (or rather unenergetic) legs, right knee/ankle strange. 	braids	Asphalt,Trail		New Balance	767	11.00	UK	#4/blue									
2007-10-13		Run	Easy	5.50	Kilometer	0:0:00	65.0	kg												braids	Asphalt,Trail		New Balance	767			#5/blue									
2007-10-14		Run	Easy	2.00	Kilometer	0:0:00	65.0	kg												warmup etc.			New Balance	767	11.00	UK	#4/blue									
2007-10-14	11:00	Run	Race	13.10	Mile	1:25:01	65.0	kg												Aviemore 1/2M	Asphalt,Track		New Balance	767	11.00	UK	#4/blue		32	855						
2007-10-17		Run	Easy	8.00	Kilometer	0:0:00	65.0	kg											s+ccw+cw+l	braids	Asphalt,Trail		New Balance	767	11.00	UK	#4/blue									
2007-10-18	18:00	Weights	0				66.5	kg																												
2007-10-18	20:00	Run	Easy	16.00	Kilometer	0:0:00	65.0	kg												Canal/wol			New Balance	767	11.00	UK	#4/blue									
2007-10-19	21:00	Run	Easy	10.00	Kilometer	0:0:00	66.5	kg											s+m+p+m+l	braids	Asphalt,Trail		New Balance	767	11.00	UK	#3/red									
2007-10-20	12:30	Weights	0				66.5	kg																												
2007-10-20	14:00	Run	Easy	9.00	Kilometer	0:0:00	66.5	kg											s+cw+p+ccw+s	braids	Asphalt,Trail		New Balance	767	11.00	UK	#4/blue									
2007-10-21	10:00	Run	Long	23.00	Kilometer	0:0:00	66.5	kg											Slow/tough start, took about 5miles to warm up. Met guy who says he was behind me at Edinburgh Marathon - picked up pace running after him. Slow & easy finish.<br><br>Actually Monday morning instead of planned Sunday night run. Let's pretend otherwise.	Canal/wol - balerno			New Balance	767			#5/blue									
2007-10-23		Weights	0				66.5	kg																												
2007-10-23		Elliptical	Default	0.00		0:15:00	66.5	kg											Tough but fun, good workout once warmed up.																	
2007-10-24		Run	Easy	10.00	Kilometer	0:0:00	66.5	kg											s+cc+pk+cw+l	braids	Asphalt,Trail		New Balance	767	11.00	UK	#3/red									
2007-10-25	22:00	Run	Easy	10.00	Kilometer	0:0:00	66.5	kg											Feeling great. Legs occasionally a bit tired, probably from zipping off too fast. Nice course, long slow gentle hills.	KB-meadows road loop			New Balance	767	11.00	UK	#4/blue									
2007-10-26		Weights	0				66.0	kg																												
2007-10-26	21:00	Run	Easy	14.00	Kilometer	0:0:00	66.0	kg											Chat for a while in the middle. Little bit of Rebus.	liz	Asphalt		New Balance	767			#5/blue									
2007-10-27	17:00	Run	Easy	12.00	Kilometer	0:0:00	66.0	kg												braid loops	Asphalt,Track,Trail		New Balance	767	11.00	UK	#3/red									
2007-10-28		Run	Long	23.00	Kilometer	1:53:35	66.0	kg								Sunny	12	C	Legs v. tired, but nice day and good run other than that. Out in 56:40, so back in 56:55.	Canal/wol - balerno			New Balance	767	11.00	UK	#4/blue									
2007-10-31		Weights	0				66.0	kg																												
2007-10-31	20:00	Run	Easy	10.00	Kilometer	0:0:00	66.0	kg											Feeling crappy generally. <br>Legs somewhat tired. Right knee still odd- feels twisted and a little stiff, no pain. Possible shin issues coming (but no pain/discomfort presently).	KB-meadows road loop			New Balance	767			#5/blue									
2007-11-01		Run	Easy	14.00	Kilometer	0:0:00	66.0	kg											Lost both ways. Way out horrible, left instead of right before Little France and too long on busy Old Dalkeith Rd., way back went through Little France instead of cutting across by Cameron Toll. 	KB-Little France-Duddingston	Asphalt		New Balance	767	11.00	UK	#4/blue									
